feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
3.430948381809043,-3.7218273232499492,1.1422592166900456,1.8045225491271453,0.5629930872528318,-1.5120930579476335,-0.6991567482574108,3.249622345858331,3.9246488422157917,-1.1258744589002443,1
-3.693395255044877,-3.5783540572465373,0.2120648574261521,1.9930504901372579,-1.2984559421702453,3.889726144540464,-8.19747548114453,-1.0305096517130494,-1.4382826942952271,0.325581285905025,0
-0.21204111788197788,0.4692013112470059,1.6316292628251228,2.4253965557932546,0.30009918271076663,1.398290248118092,-0.3950028181177867,-3.456969062118376,-3.730821886611585,0.6587634741412122,0
-2.2684039228564226,-2.585816331987441,4.2618070709861,1.6961541475204411,0.9847733820026217,0.9503762510978191,-6.452330136116871,-1.5371035009440115,-2.349972188903906,-0.7156711777219328,0
-3.2567382907657745,-1.7220508594376867,2.3412168379207907,1.049757298625527,1.0276138747015668,1.7953902582342074,-6.5639465326382815,-0.9639866186628796,-2.0140542224041127,1.207819409591684,0
-3.618930169847982,-1.879709828754108,-3.0154276109922726,-3.891579319913516,0.23033980946520471,-2.154096359714114,2.2936781796935835,-3.1167005905106278,-3.4618420260099048,0.5191596300266333,2
-1.3055082149448682,-0.05043811631808315,-1.1401933873400132,-3.0613045957207214,1.3959393967790357,-0.13254482626871344,1.5835310750741969,-1.8963716754548534,-0.48604549864893765,-1.1454108076060598,2
-1.9092395440311107,-1.6247820834581972,-2.3689452967215185,-3.4972577844742974,-0.12462124877094174,-0.6934714662634962,1.597480038573229,-1.8803493045169735,-0.6391621997063492,-0.8530064482059386,2
-0.8054426544418862,-2.0563242976180565,0.7637361152740361,5.980890603983708,-0.8041481176638137,-1.1930164858593315,-2.89130041487468,0.1549258281664807,-4.737860193212221,1.5673651348437507,0
-2.366721784276221,-4.266525076105511,1.8485850088524698,-0.3167285863658367,-0.8434927940530615,2.248062352266184,-6.174539447722377,-1.6100476289720724,-0.04741830364403852,-1.4602555526924073,0
-0.672110298995436,-5.082216766574872,-0.9367716034435147,3.678262275866275,0.9672821070356521,2.201322877337367,-7.855807318346272,4.230330217345516,2.9943627099880703,0.3456975189154404,1
1.698879783016373,-2.686279683378906,0.7777367068661389,3.0727956057814096,0.048828410903883866,-1.1735176744821207,-1.8958447277955848,2.811657277550328,1.3717390396334963,1.5447525119805825,1
